"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Nov 25 15:19:20 EET 2022","Fri Nov 25 15:19:43 EET 2022","23427","Command line suite","Command line test","Basic.KisiDavetEtTest","Basic.KisiDavetEtTest","KisiDavetEt","KisiDavetEt","Kampanyaları görüntüleme testi."
"broken","Fri Nov 25 17:10:20 EET 2022","Fri Nov 25 17:11:11 EET 2022","50773","Basic Suite","ttPay_POM","SemiVerified.IBANKaydetTest","SemiVerified.IBANKaydetTest","IBANKaydet","IBANKaydet","IBAN Kaydetme testi."
"passed","Fri Nov 25 15:23:07 EET 2022","Fri Nov 25 15:23:23 EET 2022","15607","Command line suite","Command line test","Basic.ParaGonderTest","Basic.ParaGonderTest","LoginAndClickParaGonder","LoginAndClickParaGonder","Para Gönderme senaryosu"
"passed","Fri Nov 25 15:24:45 EET 2022","Fri Nov 25 15:25:06 EET 2022","21425","Command line suite","Command line test","Basic.PokusKartEkleTest","Basic.PokusKartEkleTest","PokusKartEkle","PokusKartEkle","Pokus Kart Ekleme testi."
"passed","Fri Nov 25 16:49:45 EET 2022","Fri Nov 25 16:50:22 EET 2022","37226","Default Suite","ttPay_POM","Verified.KisiAdiGuncelleTest","Verified.KisiAdiGuncelleTest","KisiAdiGuncelle","KisiAdiGuncelle","Kişi Adı güncelleme testi."
"passed","Fri Nov 25 15:21:18 EET 2022","Fri Nov 25 15:21:45 EET 2022","26107","Command line suite","Command line test","Basic.KisiOlusturTest","Basic.KisiOlusturTest","KisiOlustur","KisiOlustur","Kişi Oluşturma senaryosu"
"passed","Sat Nov 19 20:55:12 EET 2022","Sat Nov 19 20:55:24 EET 2022","11421","Default Suite","ttPay_POM","BasicT.KampanyalarTest","BasicT.KampanyalarTest","LoginAndCheckCampaigns","LoginAndCheckCampaigns","Kampanyaları görüntüleme testi."
"passed","Fri Nov 25 17:09:20 EET 2022","Fri Nov 25 17:10:05 EET 2022","45364","Basic Suite","ttPay_POM","SemiVerified.GruptanParaIsteTest","SemiVerified.GruptanParaIsteTest","GruptanParaIste","GruptanParaIste","Gruptan Para İsteme senaryosu"
"passed","Wed Nov 30 10:13:40 EET 2022","Wed Nov 30 10:14:03 EET 2022","23383","Default Suite","ttPay_POM","Login.LoginLogOutTest","Login.LoginLogOutTest","LoginAndLogOut","LoginAndLogOut","Kullancı Adı ve Şifre ile giriş yapma senaryosu."
"passed","Fri Nov 25 15:14:52 EET 2022","Fri Nov 25 15:15:10 EET 2022","18041","Command line suite","Command line test","Basic.FaturaOdeTest","Basic.FaturaOdeTest","FaturaOde","FaturaOde","Fatura Ödeme testi."
"passed","Fri Nov 25 15:14:17 EET 2022","Fri Nov 25 15:14:38 EET 2022","20595","Command line suite","Command line test","Basic.BankadanParaYukleTest","Basic.BankadanParaYukleTest","BankaHesabindanParaYukle","BankaHesabindanParaYukle","Banka hesabından para yükleme testi."
"passed","Fri Nov 25 16:28:24 EET 2022","Fri Nov 25 16:28:52 EET 2022","27683","Basic Suite","ttPay_POM","Verified.KampanyalarTest","Verified.KampanyalarTest","LoginAndCheckCampaigns","LoginAndCheckCampaigns","Kampanyaları kontrol testi."
"broken","Tue Nov 22 16:01:33 EET 2022","Tue Nov 22 16:01:56 EET 2022","22759","Default Suite","ttPay_POM","Login.Login_BeniHatirla","Login.Login_BeniHatirla","Login_Basic_TopUp","Login_Basic_TopUp","Sisteme yebi kullanıcı kaydetme senaryosu."
"passed","Fri Nov 25 17:16:15 EET 2022","Fri Nov 25 17:16:53 EET 2022","37494","Basic Suite","ttPay_POM","SemiVerified.KisidenParaIsteTest","SemiVerified.KisidenParaIsteTest","KayitliKisidenParaIste","KayitliKisidenParaIste","Kayıtlı Kişiden Para İsteme senaryosu"
"passed","Fri Nov 25 17:04:26 EET 2022","Fri Nov 25 17:05:28 EET 2022","61967","Basic Suite","ttPay_POM","SemiVerified.AdresGuncelleTest","SemiVerified.AdresGuncelleTest","AdresGuncelle","AdresGuncelle","Adres Güncelleme Senaryosu"
"passed","Sun Nov 20 16:30:49 EET 2022","Sun Nov 20 16:31:09 EET 2022","20099","Default Suite","ttPay_POM","BasicT.KisiAdiGuncelleTest","BasicT.KisiAdiGuncelleTest","KisiAdiGuncelle","KisiAdiGuncelle","Kişi Adı güncelleme testi."
"passed","Fri Nov 25 15:29:22 EET 2022","Fri Nov 25 15:29:27 EET 2022","5117","Command line suite","Command line test","Register.Register5leBaslamayanNoTest","Register.Register5leBaslamayanNoTest","Register5ileBaslamayanNo","Register5ileBaslamayanNo","Sisteme 5 ile başlamayan yeni kullanıcı kaydetme senaryosu."
"broken","Fri Nov 25 17:00:48 EET 2022","Fri Nov 25 17:01:33 EET 2022","44799","Default Suite","ttPay_POM","Verified.IBANKaydetParaGonderTest","Verified.IBANKaydetParaGonderTest","IBANKaydet","IBANKaydet","IBAN Kaydetme testi."
"broken","Sat Nov 19 21:02:58 EET 2022","Sat Nov 19 21:03:30 EET 2022","32141","Default Suite","ttPay_POM","BasicT.ParaIsteKayitliKisidenTest","BasicT.ParaIsteKayitliKisidenTest","LoginAndClickParaIste","LoginAndClickParaIste","Para İsteme senaryosu."
"passed","Fri Nov 25 17:06:50 EET 2022","Fri Nov 25 17:07:24 EET 2022","34595","Basic Suite","ttPay_POM","SemiVerified.FaturaOdeTest","SemiVerified.FaturaOdeTest","FaturaOde","FaturaOde","Fatura Ödeme testi."
